Address A,Address B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"192.168.0.8","142.250.219.10",95,36301,3,43,9942,52,26359,0.971211,409.975348,194,514
"192.168.0.8","142.250.219.14",103,34410,22,47,19248,56,15162,21.228149,630.5152469999999,244,192
"192.168.0.8","142.250.219.34",1123,386786,47,543,165070,580,221716,246.908014,393.27564200000006,3357,4510
"192.168.0.8","142.250.219.37",88,56906,55,35,8189,53,48717,359.51915,240.988495,271,1617
"192.168.0.8","142.250.219.42",145,51129,46,63,21829,82,29300,244.941858,393.04109299999993,444,596
"192.168.0.8","142.250.219.129",55,20844,96,25,5075,30,15769,619.3172,59.03730500000006,687,2136
"192.168.0.8","142.250.219.130",1543,566530,89,748,248131,795,318399,617.88518,30.076364000000012,66000,84690
"192.168.0.8","142.250.219.132",206,98305,63,80,14344,126,83961,523.883918,115.83587699999998,990,5798
"192.168.0.8","142.250.219.138",207,93954,53,93,40449,114,53505,347.238183,324.766636,996,1317
"192.168.0.8","142.250.219.142",1683,704185,10,728,525151,955,179034,7.419374,669.50372,6275,2139
"192.168.0.8","142.251.129.232",296,286540,74,79,7724,217,278816,614.470953,24.77610500000003,2494,90027
"192.168.0.8","142.251.129.234",70,31892,70,29,6890,41,25002,611.282382,26.69434899999999,2064,7492
"192.168.0.8","142.251.132.33",19,8004,102,9,2334,10,5670,676.808394,0.5352719999999636,34883,84741
"192.168.0.8","142.251.132.34",37,10508,65,18,3729,19,6779,524.08635,113.89049899999998,261,476
"192.168.0.8","142.251.132.46",76,27197,57,38,18888,38,8309,410.474549,253.43832299999997,596,262
"192.168.0.8","142.251.132.226",1547,571883,90,747,253121,800,318762,618.065323,30.341520999999943,66739,84046
"192.168.0.8","142.251.132.234",173,38206,17,71,16659,102,21547,15.755355,622.221492,214,277
"192.168.0.8","142.251.132.238",48,13073,48,21,6578,27,6495,260.924684,240.583727,218,215
"192.168.0.8","146.75.5.91",33,8940,6,16,2269,17,6671,1.649629,657.136888,27,81
"192.168.0.8","151.101.176.157",124,51513,73,60,29959,64,21554,614.176921,26.814899999999966,8938,6430
"192.168.0.8","151.101.176.158",26,7846,97,13,2060,13,5786,621.456821,16.495691999999963,999,2806
"192.168.0.8","151.101.176.159",43,12163,85,20,6409,23,5754,616.782606,21.188189999999963,2419,2172
"192.168.0.8","151.101.178.250",10,636,28,5,282,5,354,29.512697,58.064791,38,48
"192.168.0.8","151.101.178.251",36,2232,31,18,996,18,1236,32.075664,430.94377,18,22
"192.168.0.8","151.101.249.91",93,12484,16,46,4849,47,7635,14.686045,623.376504,62,97
"192.168.0.8","151.101.250.248",54,8415,0,26,3519,28,4896,0,637.855997,44,61
"192.168.0.8","151.101.250.251",38,2352,8,19,1050,19,1302,3.7754469999999998,458.996335,18,22
"192.168.0.8","151.101.251.42",16,996,32,8,444,8,552,32.075728,194.06685,18,22
"192.168.0.8","162.125.21.2",245,145595,4,144,112502,101,33093,1.198928,663.687363,1356,398
"192.168.0.8","172.66.0.227",223,64530,77,77,30125,146,34405,615.243509,29.74650399999996,8101,9252
"192.168.0.8","172.67.69.81",245,173405,71,138,115313,107,58092,613.49404,31.355823999999984,29420,14821
"192.168.0.8","172.217.162.193",58,21702,69,25,3898,33,17804,611.220026,26.744161000000076,1166,5325
"192.168.0.8","172.217.162.194",320,125000,98,153,51088,167,73912,639.491179,8.839519999999993,46235,66892
"192.168.0.8","172.217.162.195",80,27558,75,38,5436,42,22122,615.20372,24.54476999999997,1771,7210
"192.168.0.8","172.217.162.202",150,50968,9,66,19062,84,31906,6.267136,631.7158149999999,241,404
"192.168.0.8","172.217.162.206",116,42436,54,54,19786,62,22650,350.560867,287.38163000000003,550,630
"192.168.0.8","172.217.172.1",29,8670,64,14,2717,15,5953,524.047752,113.91644100000008,190,418
"192.168.0.8","172.217.172.2",164,81126,68,71,11726,93,69400,568.563831,74.43541999999991,1260,7458
"192.168.0.8","172.217.172.3",289,29962,24,103,10858,186,19104,26.422232,611.560726,142,249
"192.168.0.8","172.217.172.4",39,11856,93,18,3943,21,7913,618.689916,19.257005999999933,1638,3287
